episode,reward,score,steps,win,epsilon
1,-1000.5,0,5,0,0.995
2,-890.3,1,3,0,0.990025
3,-1000.6,0,6,0,0.985074875
4,-1000.2,0,2,0,0.9801495006250001
5,-1000.4,0,4,0,0.9752487531218751
6,-890.3,1,3,0,0.9703725093562657
7,-891.4,1,14,0,0.9655206468094844
8,-890.3,1,3,0,0.960693043575437
9,-1000.3000000000001,0,3,0,0.9558895783575597
10,-1000.3000000000001,0,3,0,0.9511101304657719
11,-1000.4,0,4,0,0.946354579813443
12,-890.2,1,2,0,0.9416228069143757
13,-1000.2,0,2,0,0.9369146928798039
14,-890.7,1,7,0,0.9322301194154049
15,-770.3,2,3,0,0.9275689688183278
16,-891.3,1,13,0,0.9229311239742362
17,-1000.2,0,2,0,0.918316468354365
18,-1000.4,0,4,0,0.9137248860125932
19,-1000.7,0,7,0,0.9091562615825302
20,-1000.2,0,2,0,0.9046104802746175
21,-1000.2,0,2,0,0.9000874278732445
22,-1000.2,0,2,0,0.8955869907338783
23,-1000.3000000000001,0,3,0,0.8911090557802088
24,-1000.4,0,4,0,0.8866535105013078
25,-770.6,2,6,0,0.8822202429488013
26,-1000.4,0,4,0,0.8778091417340573
27,-1000.2,0,2,0,0.8734200960253871
28,-1000.3000000000001,0,3,0,0.8690529955452602
29,-890.3,1,3,0,0.8647077305675338
30,-1000.2,0,2,0,0.8603841919146962
31,-1000.2,0,2,0,0.8560822709551227
32,-1000.6,0,6,0,0.851801859600347
33,-1000.5,0,5,0,0.8475428503023453
34,-890.2,1,2,0,0.8433051360508336
35,-890.3,1,3,0,0.8390886103705794
36,-1000.9,0,9,0,0.8348931673187264
37,-1000.3000000000001,0,3,0,0.8307187014821328
38,-1000.6,0,6,0,0.8265651079747222
39,-1000.3000000000001,0,3,0,0.8224322824348486
40,-1000.3000000000001,0,3,0,0.8183201210226743
41,-1000.2,0,2,0,0.8142285204175609
42,-1000.9,0,9,0,0.810157377815473
43,-770.3,2,3,0,0.8061065909263957
44,-1000.2,0,2,0,0.8020760579717637
45,-1000.5,0,5,0,0.798065677681905
46,-1000.8000000000001,0,8,0,0.7940753492934954
47,-1000.2,0,2,0,0.7901049725470279
48,-1000.3000000000001,0,3,0,0.7861544476842928
49,-1000.6,0,6,0,0.7822236754458713
50,-890.3,1,3,0,0.778312557068642
51,-1000.3000000000001,0,3,0,0.7744209942832988
52,-1001.4,0,14,0,0.7705488893118823
53,-1000.7,0,7,0,0.7666961448653229
54,-890.3,1,3,0,0.7628626641409962
55,-890.6,1,6,0,0.7590483508202912
56,-1000.9,0,9,0,0.7552531090661897
57,-770.4,2,4,0,0.7514768435208588
58,-1000.2,0,2,0,0.7477194593032545
59,-890.3,1,3,0,0.7439808620067382
60,-770.7,2,7,0,0.7402609576967045
61,-890.5,1,5,0,0.736559652908221
62,-890.3,1,3,0,0.7328768546436799
63,-890.9,1,9,0,0.7292124703704616
64,-1000.4,0,4,0,0.7255664080186093
65,-1000.3000000000001,0,3,0,0.7219385759785162
66,-1000.3000000000001,0,3,0,0.7183288830986236
67,-1001.2,0,12,0,0.7147372386831305
68,-1000.3000000000001,0,3,0,0.7111635524897149
69,-1000.2,0,2,0,0.7076077347272662
70,-1000.4,0,4,0,0.7040696960536299
71,-1000.2,0,2,0,0.7005493475733617
72,-1000.5,0,5,0,0.697046600835495
73,-1001.9,0,19,0,0.6935613678313175
74,-1000.2,0,2,0,0.6900935609921609
75,-770.6,2,6,0,0.6866430931872001
76,-770.6,2,6,0,0.6832098777212641
77,-1000.7,0,7,0,0.6797938283326578
78,-1000.3000000000001,0,3,0,0.6763948591909945
79,-641.1,3,11,0,0.6730128848950395
